type,iter,elapsed_time,token/s,th_stop_draft,skipped_attn,skipped_mlp
base,0,10.937052011489868,23.40667299845154,0.6,0,0
ssd,0,10.735325813293457,23.84650493634739,0.674000000000001,18,7
ssd,1,17.785512924194336,14.393737256334793,0.8350000000000027,15,19
ssd,2,13.398045301437378,19.10726484650232,0.7430000000000021,10,13
ssd,3,14.896371603012085,17.18539298175377,0.8080000000000027,15,15
ssd,4,15.985660552978516,16.014352309783096,0.8330000000000027,17,16
ssd,5,11.179586172103882,22.89887980279537,0.6930000000000017,18,8
ssd,6,14.35091495513916,17.838583867318135,0.7720000000000022,17,14
ssd,7,12.179303646087646,21.019264108932433,0.7380000000000019,19,9
ssd,8,11.228500127792358,22.799126961432588,0.6880000000000019,16,8
ssd,9,11.689261436462402,21.900442674800416,0.6890000000000014,13,10
ssd,10,12.652859687805176,20.232580327017516,0.7660000000000022,20,7
ssd,11,11.86936068534851,21.56813722208352,0.753000000000002,19,10
ssd,12,13.407074689865112,19.094396497508853,0.7670000000000027,14,14
ssd,13,12.05989933013916,21.22737454036824,0.7270000000000024,16,8
ssd,14,11.71921682357788,21.844463145775563,0.7130000000000021,16,9
ssd,15,11.54018259048462,22.183357844882202,0.7260000000000021,19,8
ssd,16,12.10157585144043,21.154269753184977,0.7450000000000023,19,12
ssd,17,12.202014446258545,20.98014234678244,0.7340000000000019,18,8
ssd,18,11.500746488571167,22.259424660338286,0.7000000000000013,14,6
ssd,19,14.526419878005981,17.623062127482765,0.7750000000000024,14,12
ssd,20,11.213202476501465,22.83023075133772,0.6960000000000013,17,7
ssd,21,11.851725339889526,21.60023057051255,0.7100000000000016,15,8
ssd,22,12.105632305145264,21.147181208468737,0.730000000000002,16,10
ssd,23,11.801098823547363,21.692895197961526,0.7090000000000019,14,7
ssd,24,11.55235242843628,22.159988762968517,0.6990000000000017,15,8
ssd,25,11.821048021316528,21.656286273295155,0.7100000000000019,14,9
ssd,26,11.597060918807983,22.074558527568144,0.7060000000000022,16,6
ssd,27,12.082252025604248,21.188102967683058,0.728000000000002,16,9
ssd,28,13.029794692993164,19.647278106205714,0.7650000000000022,18,13
ssd,29,11.018192529678345,23.234300844756923,0.6920000000000013,18,5
ssd,30,11.368033170700073,22.519286859561024,0.7010000000000015,17,7
ssd,31,11.562172889709473,22.141166927874284,0.7120000000000016,17,7
ssd,32,11.339218616485596,22.57651154443859,0.7180000000000019,19,6
ssd,33,11.46134090423584,22.335955464459527,0.7110000000000015,18,6
ssd,34,11.443861722946167,22.370071064970368,0.736000000000002,22,6
ssd,35,12.837542057037354,19.94151207938318,0.7640000000000022,15,12
ssd,36,10.83530330657959,23.626472905889724,0.6780000000000013,18,5
ssd,37,10.985247135162354,23.303981863145996,0.6840000000000019,17,6
ssd,38,10.996106147766113,23.28096842280911,0.6860000000000012,16,3
ssd,39,11.202743768692017,22.851544700632694,0.6970000000000014,18,3
ssd,40,11.389916896820068,22.476020002522777,0.6970000000000013,17,4
ssd,41,12.194859743118286,20.99245136004652,0.7320000000000018,20,4
ssd,42,11.085970401763916,23.09224999908598,0.6940000000000014,17,5
ssd,43,11.351031303405762,22.553016827923802,0.6900000000000016,19,5
ssd,44,11.119832515716553,23.02192947943907,0.6930000000000015,18,6
ssd,45,11.472242593765259,22.314730350901623,0.7030000000000014,15,6
ssd,46,12.254252433776855,20.890707236810105,0.7440000000000019,20,4
ssd,47,11.13600778579712,22.98848967459441,0.6940000000000014,17,7
ssd,48,11.106801748275757,23.048939361841224,0.7040000000000014,17,8
ssd,49,10.961448192596436,23.354578291297962,0.6870000000000018,16,8
ssd,50,11.069761276245117,23.12606330087325,0.6800000000000017,16,5
ssd,51,12.444252967834473,20.571745098858166,0.7250000000000016,16,8
ssd,52,11.576567649841309,22.113635728938124,0.713000000000002,17,8
ssd,53,12.075685024261475,21.19962548589714,0.7280000000000019,17,6
ssd,54,13.850656509399414,18.482878398310707,0.7650000000000027,14,12
ssd,55,11.865317106246948,21.575487423359217,0.6980000000000015,12,6
